track_name,artist_name
Sex,The 1975
Believer,American Authors
Luck,American Authors
She's American,The 1975
Go Big Or Go Home,American Authors
You,The 1975
That's What I Like - Alan Walker Remix,Bruno Mars
Portugal,WALK THE MOON
That's What I Like (feat. Gucci Mane) - Remix,Bruno Mars
Guns For Hands,Twenty One Pilots
Heart Out,The 1975
Animal,Neon Trees
Migraine,Twenty One Pilots
Versace On The Floor,Bruno Mars
Standing on the Sun Remix,Beyoncé
Screen,Twenty One Pilots
Sleeping With A Friend,Neon Trees
That's What I Like,Bruno Mars
Irreplaceable,Beyoncé
It Will Rain,Bruno Mars
Ode To Sleep,Twenty One Pilots
Head.Cars.Bending,The 1975
Lane Boy,Twenty One Pilots
E.T. - feat. Kanye West,Katy Perry
By Your Side,The 1975
If I Believe You,The 1975
Baby Came Home,The Neighbourhood
The Emotion,BØRNS
Rise,Selena Gomez
XO,Beyoncé
Countdown,Beyoncé
This Christmas,Christina Aguilera
Girls,The 1975
Oh Holy Night,Christina Aguilera
When I Was Your Man,Bruno Mars
Rocket,Beyoncé
Paris,The 1975
Boyfriend,COIN
Heartbreaker,Mariah Carey
Marry You,Bruno Mars
